# Photons/cm2/s/nm/W(of effective power),,,,,,,
Lambda,Kowal.Incandescent,Kowal.Halogen,Kowal.LED,Kowal.CFL,Kowal.UFT,Kowal.CFT,Kowal.SFT
594,5.19E+12,4.58E+12,9.26E+12,5.07E+13,3.87E+12,1.69E+12,8.81E+12
595,,,,3.57E+13,2.38E+12,1.15E+12,5.75E+12
596,5.28E+12,4.65E+12,9.42E+12,2.94E+13,1.77E+12,9.20E+11,4.56E+12
597,,,,3.13E+13,1.74E+12,9.38E+11,4.65E+12
598,5.39E+12,4.73E+12,9.60E+12,4.03E+13,2.31E+12,1.21E+12,6.23E+12
599,,,,4.70E+13,3.15E+12,1.46E+12,7.83E+12
600,5.49E+12,4.80E+12,9.72E+12,4.26E+13,3.13E+12,1.33E+12,7.14E+12
601,,,,3.17E+13,2.24E+12,9.66E+11,4.96E+12
602,5.58E+12,4.87E+12,9.82E+12,2.35E+13,1.51E+12,6.94E+11,3.46E+12
603,,,,2.07E+13,1.24E+12,6.08E+11,3.03E+12
604,5.69E+12,4.96E+12,9.92E+12,2.17E+13,1.28E+12,6.38E+11,3.24E+12
605,,,,2.46E+13,1.44E+12,7.23E+11,3.68E+12
606,5.80E+12,5.04E+12,1.00E+13,3.07E+13,1.72E+12,8.90E+11,4.48E+12
607,,,,4.31E+13,2.29E+12,1.23E+12,6.11E+12
608,5.91E+12,5.13E+12,1.01E+13,7.14E+13,3.55E+12,2.00E+12,9.96E+12
609,,,,1.70E+14,7.63E+12,4.92E+12,2.46E+13
610,6.00E+12,5.20E+12,1.01E+13,4.37E+14,2.55E+13,1.36E+13,7.45E+13
611,,,,6.25E+14,4.51E+13,1.99E+13,1.11E+14
612,6.12E+12,5.28E+12,1.02E+13,5.35E+14,4.22E+13,1.69E+13,9.21E+13
613,,,,3.63E+14,2.66E+13,1.12E+13,5.85E+13
614,6.22E+12,5.35E+12,1.01E+13,2.51E+14,1.82E+13,7.69E+12,4.08E+13
615,,,,1.79E+14,1.32E+13,5.53E+12,2.94E+13
616,6.35E+12,5.46E+12,1.01E+13,1.18E+14,8.96E+12,3.80E+12,2.01E+13
617,,,,7.80E+13,6.30E+12,2.75E+12,1.49E+13
618,6.45E+12,5.53E+12,1.01E+13,5.70E+13,5.28E+12,2.36E+12,1.32E+13
619,,,,4.94E+13,5.39E+12,2.42E+12,1.40E+13
620,6.55E+12,5.61E+12,1.00E+13,4.89E+13,5.89E+12,2.56E+12,1.52E+13
621,,,,5.03E+13,5.91E+12,2.50E+12,1.49E+13
622,6.66E+12,5.70E+12,9.93E+12,5.32E+13,5.41E+12,2.29E+12,1.35E+13
623,,,,5.72E+13,4.88E+12,2.10E+12,1.22E+13
624,6.73E+12,5.75E+12,9.79E+12,6.06E+13,4.55E+12,1.96E+12,1.13E+13
625,,,,6.29E+13,4.15E+12,1.79E+12,1.02E+13
626,6.86E+12,5.84E+12,9.68E+12,6.33E+13,3.72E+12,1.64E+12,9.10E+12
627,,,,6.17E+13,3.51E+12,1.58E+12,8.68E+12
628,6.99E+12,5.93E+12,9.56E+12,6.11E+13,3.54E+12,1.63E+12,8.88E+12
629,,,,7.27E+13,4.12E+12,2.03E+12,1.10E+13
630,7.11E+12,6.02E+12,9.41E+12,9.52E+13,6.10E+12,2.84E+12,1.58E+13
631,,,,9.29E+13,6.92E+12,2.88E+12,1.62E+13
632,7.23E+12,6.12E+12,9.26E+12,6.09E+13,4.78E+12,1.88E+12,1.02E+13
